Volcano Number,Volcano Name,Eruption Number,Start Year,Start Month,Latitude,Longitude
263090,Tangkubanparahu,20822,2013,2,-6.77,107.6
260010,Barren Island,20754,2013,2,12.278,93.858
290070,Etorofu-Yakeyama [Grozny Group],20762,2013,2,45.012,147.871
284305,Mariana Back-Arc Segment at 15.5¡N,21102,2013,2,15.406,144.506
251030,Karkar,20779,2013,1,-4.649,145.964
352090,Sangay,22235,2013,1,-2.005,-78.341
252140,Rabaul,20811,2013,1,-4.271,152.203
341040,Colima,20759,2013,1,19.514,-103.62
344020,San Cristobal,20816,2012,12,12.702,-87.004
357090,Copahue,20760,2012,12,-37.856,-71.183
252010,Langila,20788,2012,12,-5.525,148.42
300240,Tolbachik,20825,2012,11,55.832,160.326
241080,Tongariro,20827,2012,11,-39.157,175.632
290150,Chirpoi,20756,2012,11,46.532,150.871
252120,Ulawun,20834,2012,11,-5.05,151.33
284170,Pagan,20804,2012,10,18.13,145.8
345020,Rincon de la Vieja,22161,2012,10,10.83,-85.324
264150,Paluweh,20806,2012,10,-8.32,121.708
290390,Alaid,20750,2012,10,50.861,155.565
261140,Marapi,20797,2012,9,-0.38,100.474
268060,Gamalama,20766,2012,9,0.8,127.33
266100,Lokon-Empung,20794,2012,9,1.358,124.792
344020,San Cristobal,20815,2012,9,12.702,-87.004
234010,Heard,20768,2012,9,-53.106,73.513
300260,Klyuchevskoy,20785,2012,9,56.056,160.642
266030,Soputan,20821,2012,8,1.112,124.737
290070,Etorofu-Yakeyama [Grozny Group],20761,2012,8,45.012,147.871
241040,White Island,20839,2012,8,-37.52,177.18
241080,Tongariro,20826,2012,8,-39.157,175.632
242050,Monowai,20799,2012,8,-25.887,-177.188
242005,Havre Seamount,20748,2012,7,-31.08,-179.033
390090,Saunders,20903,2012,6,-57.8,-26.483
267020,Karangetang,20776,2012,5,2.781,125.407
351080,Galeras,20764,2012,5,1.22,-77.37
264270,Sirung,20819,2012,5,-8.508,124.13
252120,Ulawun,20833,2012,5,-5.05,151.33
252080,Witori,20805,2012,5,-5.576,150.516
344100,Masaya,22143,2012,4,11.984,-86.161
261140,Marapi,20796,2012,3,-0.38,100.474
351020,"Ruiz, Nevado del",20814,2012,2,4.892,-75.324
345020,Rincon de la Vieja,20813,2012,2,10.83,-85.324
311110,Kanaga,20774,2012,2,51.923,-177.168
284120,Ioto,20772,2012,2,24.751,141.289
251030,Karkar,20778,2012,2,-4.649,145.964
345070,Turrialba,20830,2012,1,10.025,-83.767
264230,Lewotolo,20791,2012,1,-8.272,123.505
221020,Zubair Group,20840,2011,12,15.05,42.18
261170,Kerinci,22217,2011,12,-1.697,101.264
268060,Gamalama,20765,2011,12,0.8,127.33
352080,Tungurahua,22215,2011,11,-1.467,-78.442
223020,Nyamuragira,20801,2011,11,-1.408,29.2
358057,"Hudson, Cerro",20770,2011,10,-45.9,-72.97
383020,Hierro,20769,2011,10,27.73,-18.03
257020,Gaua,20938,2011,9,-14.27,167.5
345020,Rincon de la Vieja,20812,2011,8,10.83,-85.324
344020,San Cristobal,10898,2011,8,12.702,-87.004
261140,Marapi,20795,2011,8,-0.38,100.474
262000,Krakatau,20787,2011,7,-6.102,105.423
311240,Cleveland,20758,2011,7,52.825,-169.944
266030,Soputan,20820,2011,7,1.112,124.737
266100,Lokon-Empung,20793,2011,6,1.358,124.792
222120,"Lengai, Ol Doinyo",20790,2011,6,-2.764,35.914
221101,Nabro,20800,2011,6,13.37,41.7
352090,Sangay,22234,2011,6,-2.005,-78.341
357150,Puyehue-Cordon Caulle,20809,2011,6,-40.59,-72.117
257030,Ambae,20752,2011,6,-15.4,167.83
373010,Grimsvotn,20767,2011,5,64.416,-17.316
282110,Asosan,20753,2011,5,32.884,131.104
263300,Semeru,22219,2011,5,-8.108,112.922
284170,Pagan,20803,2011,4,18.13,145.8
352080,Tungurahua,22214,2011,4,-1.467,-78.442
331021,Axial Seamount,20921,2011,4,45.95,-130
300260,Klyuchevskoy,20783,2011,3,56.056,160.642
252140,Rabaul,20810,2011,3,-4.271,152.203
267020,Karangetang,20775,2011,3,2.781,125.407
344040,Telica,20823,2011,3,12.606,-86.84
266100,Lokon-Empung,20792,2011,2,1.358,124.792
357040,Planchon-Peteroa,20808,2011,2,-35.223,-70.568
282090,Kirishimayama,20782,2011,1,31.934,130.862
345070,Turrialba,20829,2011,1,10.025,-83.767
221041,Dallol,20939,2011,1,14.242,40.3
263310,Tengger Caldera,16064,2010,11,-7.942,112.95
352080,Tungurahua,11645,2010,11,-1.467,-78.442
390090,Saunders,20901,2010,11,-57.8,-26.483
300230,Kizimen,19264,2010,11,55.131,160.32
273010,Bulusan,16772,2010,11,12.769,124.056
263250,Merapi,15925,2010,10,-7.54,110.446
262000,Krakatau,15634,2010,10,-6.102,105.423
233020,"Fournaise, Piton de la",14392,2010,10,-21.244,55.708
260010,Barren Island,15388,2010,9,12.278,93.858
357040,Planchon-Peteroa,11947,2010,9,-35.223,-70.568
261080,Sinabung,15404,2010,8,3.17,98.392
211060,Etna,13854,2010,8,37.748,14.999
351080,Galeras,11381,2010,8,1.22,-77.37
251020,Manam,14935,2010,8,-4.08,145.037
267020,Karangetang,16544,2010,8,2.781,125.407
252140,Rabaul,15101,2010,7,-4.271,152.203
